19;24;27;33;41;9;06/10/2008
22;24;32;41;48;1;08/10/2008
10;20;22;39;46;4;11/10/2008
10;11;37;41;48;4;13/10/2008
18;20;28;40;49;1;15/10/2008
4;32;35;39;44;10;18/10/2008
7;15;31;43;48;3;20/10/2008
11;12;14;28;48;2;22/10/2008
11;13;19;22;46;3;25/10/2008
4;6;37;44;46;2;27/10/2008
22;28;41;43;49;4;29/10/2008
4;22;27;36;45;3;01/11/2008
2;20;23;24;26;8;03/11/2008
4;8;15;38;47;7;05/11/2008
5;22;25;33;35;9;08/11/2008
9;12;21;38;45;6;10/11/2008
23;34;35;40;45;5;12/11/2008
10;22;41;43;48;3;15/11/2008
1;6;19;23;41;6;17/11/2008
2;26;34;37;41;4;19/11/2008
12;20;30;36;45;6;22/11/2008
17;30;31;36;43;8;24/11/2008
11;13;25;28;49;5;26/11/2008
18;20;22;32;36;7;29/11/2008
15;19;32;37;38;1;01/12/2008
26;29;31;34;42;10;03/12/2008
2;5;13;24;48;4;06/12/2008
1;11;15;29;31;8;08/12/2008
10;11;35;38;41;3;10/12/2008
8;24;31;38;42;7;13/12/2008
2;5;15;27;48;8;15/12/2008
13;31;33;44;49;9;17/12/2008
2;22;26;41;46;5;20/12/2008
2;5;27;35;48;3;22/12/2008
2;4;27;33;41;5;24/12/2008
17;36;37;47;49;10;27/12/2008
14;21;26;27;38;4;29/12/2008
5;11;20;24;30;8;31/12/2008
12;22;24;38;47;1;03/01/2009
8;11;25;29;36;2;05/01/2009
9;11;33;37;39;8;07/01/2009
10;21;40;44;49;2;10/01/2009
4;9;11;29;47;8;12/01/2009
1;5;13;19;42;3;14/01/2009
2;5;27;37;46;4;17/01/2009
7;26;32;38;39;9;19/01/2009
3;10;32;35;47;3;21/01/2009
5;15;20;28;40;10;24/01/2009
8;10;13;39;49;10;26/01/2009
7;38;40;41;46;5;28/01/2009
6;18;31;36;40;7;31/01/2009
4;12;31;38;41;8;02/02/2009
10;20;27;43;47;3;04/02/2009
4;16;22;34;49;10;07/02/2009
3;13;17;31;46;5;09/02/2009
1;10;14;35;46;8;11/02/2009
6;8;26;37;43;3;13/02/2009
12;16;18;24;44;4;14/02/2009
16;21;23;29;46;4;16/02/2009
10;23;28;40;43;9;18/02/2009
21;39;40;47;48;5;21/02/2009
